id,z1,z2,z3,z4,z5,z6,z7,z8,z9
1,0.943783,-0.984623,-1.819439,-1.959747,-0.945545,-1.233824,-0.008996,0.177885,0.097174
2,0.771412,0.048916,-1.879922,-0.176456,-0.952298,-1.294599,-0.618768,-0.014679,-0.036457
3,-0.646703,0.652988,-1.756221,0.294631,-1.121381,-1.815773,-0.392344,-0.217916,-0.086921
4,-1.959747,-1.33787,-1.839588,-0.140249,-0.965406,-1.751974,0.482939,-0.15978,-0.117108
5,-2.685671,-0.461559,-1.941112,0.060562,-0.79951,-2.156225,0.483678,-0.135057,-0.131441
6,0.294631,0.245178,-1.850593,-1.047658,-0.664665,-1.93316,0.086707,-0.244776,-0.222946
7,1.098815,-0.390197,-1.942072,0.952141,0.223889,-1.649869,0.501574,-0.122862,-0.265958
8,0.44731,-1.250565,-1.754977,0.695329,0.434758,-1.467914,0.839459,0.109171,-0.267162
9,-0.568993,-1.066889,-1.516929,-1.03301,-1.53643,-1.860376,0.488794,0.274153,-0.248022
10,-0.204959,-0.881069,-2.216842,0.4167,0.463929,-1.949921,-0.286568,0.090306,-0.3816
11,0.405811,-1.35278,-1.933661,-1.27959,-1.907155,-2.00081,0.124836,0.290057,-0.489887
12,0.316108,-3.055676,-2.395853,-0.258529,-1.360713,-1.883888,-0.336677,0.199007,-0.489518
13,0.790651,-2.844577,-1.942033,-0.228688,0.159858,-1.949082,0.12106,0.487507,-0.467942
14,0.827527,-1.996353,-1.771651,-0.995047,-2.924792,-2.216842,-0.027939,0.555229,-0.486585
15,-0.16757,-1.083162,-1.520783,-1.62007,-2.844577,-2.237227,-1.338672,0.422444,-0.5814
16,1.197008,-2.971339,-1.390517,-0.220625,-1.449264,-2.201268,-1.431834,-0.144264,-0.670506
17,-1.178051,-0.449535,-1.457098,-0.004648,0.625531,-1.703014,-1.2195,-0.476763,-0.775523
18,0.62198,-2.733791,-1.633034,-0.525223,-0.966836,-2.153446,-0.990688,-0.753688,-1.067569
19,-0.129584,0.209207,-2.223319,-0.913354,-0.846323,-1.529019,-0.696992,-0.55294,-1.11733
20,-0.191911,1.04489,-1.725403,-1.164376,-0.708861,-1.541427,-0.000327,-0.195103,-1.149656
21,-0.923329,-0.660107,-1.739389,-1.663753,-1.186081,-1.596246,-0.115195,-0.463397,-1.238097
22,-1.622019,-0.200768,-1.595395,0.166351,-0.456244,-1.633034,-0.416071,-0.562446,-1.358985
23,-0.230958,-0.846323,-1.358697,-0.003167,-0.549281,-1.941622,-0.478627,-0.588476,-1.433457
24,1.317767,-2.188877,-1.353662,0.312192,-0.7923,-1.561693,-0.557301,-0.78637,-1.44771
25,-1.253902,-2.061287,-1.535851,0.34384,-0.345157,-1.314827,-1.411555,-1.074637,-1.540129
26,-1.663753,0.277294,-1.267047,0.133886,-1.136422,-1.804458,0.538997,-0.379968,-1.53906
27,-0.689948,-0.605165,-1.556078,1.051981,0.546518,-1.432883,0.538376,-0.051507,-1.553663
28,0.058448,-0.570943,-1.47907,0.996698,-0.019546,-1.3241,0.110403,0.169246,-1.472111
29,0.282866,-0.626829,-0.888865,1.791178,-0.330919,-1.358697,-1.586972,-0.365716,-1.534575
30,-0.865096,-0.818342,-1.026272,0.357676,-1.003243,-2.041345,-0.837932,-0.421604,-1.548487
31,0.588741,-1.833858,-1.461437,0.085885,0.962082,-1.130572,0.269112,-0.202662,-1.375687
32,0.782154,1.737499,-1.329027,-1.104749,-1.268532,-1.624096,-1.458276,-0.564744,-1.443693
33,1.596245,-0.624378,-1.229363,0.887799,0.193213,-1.2589,-0.263009,0.467628,0.068172
