x,y,t,z
0.630074,0.69233,52,0.309477
0.855771,0.161892,58,0.454327
0.954506,0.808805,3,1.577138
0.888823,0.900872,30,0.509339
0.224331,0.663769,96,0.582274
0.293496,0.137554,69,-1.094838
0.545354,0.326286,63,0.78666
0.380093,0.621679,46,-0.502546
0.170951,0.005651,66,-0.511025
0.422625,0.5784,47,-0.869544
0.638156,0.05459,10,0.2313
0.141286,0.178102,60,0.522279
0.149704,0.111023,53,-0.3488
0.836242,0.52357,97,0.928688
0.170637,0.710344,15,-0.046202
0.169332,0.607783,16,-1.300378
0.181221,0.242936,28,-0.969945
0.702179,0.145693,90,1.449852
0.102424,0.017355,10,-1.036947
0.507861,0.799341,31,-0.914228
0.215388,0.816276,57,-1.841171
0.513738,0.139766,95,1.379678
0.942449,0.90089,8,1.085843
0.508924,0.725282,14,0.935331
0.073333,0.382892,91,-0.550439
0.196836,0.731368,7,-0.804216
0.519452,0.19283,84,0.554981
0.3941,0.306877,30,0.031162
0.226198,0.521215,54,-1.000802
0.797641,0.771142,29,-0.516543
0.055801,0.259567,1,-1.660706
0.424423,0.289815,15,0.528617
0.799999,0.612051,73,0.371322
0.642446,0.496604,52,0.510239
0.038662,0.166065,95,0.292277
0.515895,0.444411,59,0.141727
0.004045,0.274272,78,-0.23789
0.039038,0.299138,44,-0.982416
0.83605,0.134426,78,-1.308258
0.141286,0.178102,7,-0.996175
0.520146,0.325057,34,1.444409
0.787932,0.3684,22,-0.356856
0.854171,0.958549,40,-0.7751
0.62049,0.977796,10,-0.785147
0.274171,0.659398,86,-0.8271
0.326051,0.159904,10,-0.294345
0.4921,0.921918,27,-0.894515
0.913856,0.976644,21,-0.182815
0.400741,0.569386,15,0.218201
0.489579,0.680999,65,0.860554
0.472974,0.695311,72,-0.546067
0.198542,0.881069,46,-1.237442
0.321083,0.447018,95,-0.268372
0.347124,0.617866,93,-1.878334
0.583625,0.267071,78,-0.511525
0.679583,0.421133,81,1.066329
0.555922,0.574001,71,-0.087817
0.5802,0.923068,33,0.41031
0.138716,0.731756,17,-1.187212
0.544256,0.464647,26,-0.316685
0.205414,0.714108,15,-0.049649
0.261262,0.953809,15,-0.594915
0.197805,0.052257,24,-0.310987
0.076101,0.918567,91,-1.715437
0.963118,0.482151,35,0.867612
0.489934,0.339558,15,0.711917
0.931888,0.632764,83,-0.326191
0.581664,0.237456,78,-0.791905
0.472974,0.695311,41,-1.902608
0.703713,0.610941,35,0.197451
0.012108,0.399194,87,-0.293209
0.370396,0.515252,18,-0.178022
0.526018,0.926185,32,1.126671
0.112064,0.305791,60,0.864426
0.580789,0.882185,87,0.019458
0.621489,0.735438,41,-1.909949
0.098844,0.447655,97,0.24279
0.207557,0.348725,44,-2.234348
0.520317,0.991117,38,-0.364385
0.306813,0.025906,100,0.182094
0.425328,0.331686,85,0.475686
0.799999,0.612051,77,0.257988
0.108357,0.574186,83,-1.170431
0.194414,0.112502,45,-0.808417
0.33159,0.514829,93,-2.027038
0.957719,0.708142,45,-1.364473
0.413824,0.666824,92,-0.34106
0.694361,0.390662,37,0.121647
0.068225,0.432652,29,-0.188017
0.370396,0.515252,70,-0.804858
0.555283,0.600875,92,-0.147927
0.382118,0.683396,44,-1.292269
0.483857,0.22575,42,0.07852
0.495238,0.139635,48,-0.722855
0.520572,0.472258,64,1.409861
0.508924,0.725282,15,-0.096058
0.07681,0.136769,84,0.979967
0.448559,0.515006,52,-0.336272
0.472974,0.695311,27,-0.822409
0.296818,0.318803,89,1.331598
0.921116,0.772922,33,-0.162202
0.384025,0.880313,1,-0.867813
0.724045,0.791879,11,0.24387
0.182248,0.667098,49,-0.877201
0.554421,0.835179,31,-0.954905
0.505425,0.273013,43,-0.60088
0.513693,0.285704,75,-0.179213
0.746499,0.26819,15,0.8792
0.923283,0.536032,26,-0.033609
0.332472,0.613376,81,-1.236697
0.880875,0.981793,44,0.318933
0.567022,0.766441,7,1.090177
0.670339,0.90245,58,-0.835519
0.504831,0.171086,54,0.293584
0.326051,0.159904,73,0.993714
0.365623,0.011984,53,-0.70947
0.141677,0.802099,67,-0.428491
0.788506,0.03622,48,-0.253997
0.513738,0.139766,32,0.811303
0.076487,0.324785,67,0.49773
0.277583,0.194482,33,0.612658
0.942449,0.90089,96,0.849625
0.170951,0.005651,70,-0.245293
0.110395,0.683388,82,-1.357537
0.129715,0.879358,57,-1.404199
0.397621,0.22529,20,-0.525167
0.146716,0.261341,47,-0.923985
0.734577,0.336407,68,0.44306
0.263871,0.92329,3,1.331388
0.950693,0.289616,60,0.998856
0.307778,0.301954,85,0.715421
0.645348,0.650778,55,-0.334782
0.274672,0.773467,33,0.186335
0.078715,0.632539,65,-0.4542
0.806263,0.807917,8,1.410266
0.261262,0.953809,81,-0.855422
0.765873,0.941643,90,2.374772
0.45893,0.008474,26,0.021351
0.378851,0.637495,64,0.268409
0.206409,0.95059,77,-1.270691
0.604538,0.222829,65,0.703123
0.462059,0.203633,28,-0.320389
0.740354,0.105268,55,-0.688788
0.172559,0.389576,79,-0.655786
0.193274,0.017939,21,0.016491
0.670339,0.90245,67,-0.013065
0.210329,0.27453,98,-0.084142
0.455708,0.581004,23,0.612441
0.356039,0.29862,96,0.248693
0.172495,0.196573,64,0.681115
0.238595,0.006271,80,-0.836059
0.648069,0.546327,64,1.690721
0.839381,0.933018,50,-0.187255
0.020702,0.99192,85,0.125686
0.322813,0.330093,80,-0.397251
0.923069,0.82978,85,1.977222
0.489934,0.339558,52,-0.2414
0.661345,0.947441,16,-0.782306
0.600306,0.454069,7,0.683482
0.957719,0.708142,9,-0.499454
0.764413,0.003929,38,0.276976
0.458458,0.952879,30,0.200595
0.925667,0.440965,71,0.164676
0.173161,0.302632,99,-1.288867
0.115314,0.763434,79,-0.588495
0.619278,0.391052,87,0.132355
0.837886,0.071878,2,-0.268482
0.198542,0.881069,43,-1.827633
0.115551,0.075064,22,-1.135218
0.049447,0.32325,42,-0.930449
0.941636,0.549006,91,1.424334
0.509605,0.509946,57,-0.211064
0.920902,0.352543,37,-0.338414
0.462059,0.203633,98,0.174168
0.115551,0.075064,77,0.083038
0.257918,0.274412,39,-0.816577
0.35111,0.972349,77,-1.426556
0.413824,0.666824,47,-0.851164
0.169123,0.485957,76,-1.882891
0.458464,0.393126,89,2.198428
0.328187,0.932965,70,-0.373253
0.169123,0.485957,9,-0.586659
0.101486,0.710231,95,-0.65868
0.370396,0.515252,77,0.091481
0.745114,0.296907,18,-0.26179
0.864343,0.27527,54,0.750235
0.142241,0.138224,30,-0.591153
0.017591,0.956416,1,-1.666607
0.568353,0.369469,8,0.59283
0.620227,0.347686,5,-0.242252
0.964554,0.617903,46,0.246212
0.755958,0.441927,69,0.938665
0.548469,0.902184,52,0.242211
0.546342,0.224372,90,1.774907
0.776114,0.305918,71,1.146001
0.638072,0.820686,12,-0.256442
0.021462,0.824255,34,-1.49099
0.899751,0.266244,88,1.288907
0.928836,0.509741,71,-0.166435
0.455708,0.581004,92,-0.088854
0.776415,0.745688,77,0.355332
0.433051,0.615139,90,1.599491
0.445151,0.040929,3,0.50132
0.474479,0.611719,45,-0.808083
0.674765,0.005506,2,-0.026019
0.817323,0.589368,20,-0.47255
0.42805,0.544996,49,-0.344641
0.509605,0.509946,84,0.082291
0.020659,0.200839,7,-1.197354
0.67643,0.241128,84,1.223292
0.943237,0.981942,56,0.415428
0.7692,0.318993,91,0.952186
0.957242,0.212374,79,0.137534
0.571898,0.620671,67,0.270742
0.89515,0.304702,61,0.4168
0.711343,0.320035,79,0.892492
0.306813,0.025906,94,0.123381
0.445674,0.600912,47,-0.740715
0.207557,0.348725,2,-1.284335
0.636495,0.378167,98,0.331218
0.255564,0.485009,54,-0.934368
0.098844,0.447655,25,-1.22689
0.462059,0.203633,76,0.00503
0.674205,0.670195,44,-1.064247
0.957055,0.730515,4,-0.512488
0.856044,0.490482,8,0.797979
0.695394,0.555253,58,0.155085
0.101486,0.710231,23,-0.923696
0.621489,0.735438,68,-1.080586
0.400663,0.771536,87,-0.932173
0.520146,0.325057,53,-1.063562
0.902752,0.666055,54,-0.630459
0.513693,0.285704,25,-1.028725
0.320231,0.392606,7,0.020992
0.423539,0.410221,69,0.462417
0.240234,0.232251,91,-0.305382
0.421704,0.08627,90,0.779697
0.723776,0.003936,56,0.300104
0.923069,0.82978,20,-0.342956
0.360053,0.48002,56,0.297537
0.805883,0.559256,48,-1.015111
0.431055,0.011694,15,-0.236896
0.263871,0.92329,50,-0.902751
0.882229,0.605319,93,0.306631
0.229159,0.615465,26,-0.719243
0.571898,0.620671,6,0.061695
0.253643,0.614468,41,-1.637354
0.110728,0.130687,61,0.326003
0.172495,0.196573,38,-1.864134
0.240234,0.232251,70,0.289195
0.945601,0.427099,23,-0.910618
0.817323,0.589368,53,0.2512
0.893241,0.519575,5,-0.439656
0.299539,0.382433,11,-0.235369
0.88267,0.365057,77,-0.199288
0.670339,0.90245,100,0.590457
0.554457,0.074176,19,-0.305878
0.755944,0.177296,79,0.294933
0.352715,0.535672,30,-0.519101
0.823516,0.329529,47,1.804265
0.108193,0.17256,59,0.365018
0.073946,0.663927,37,-0.182327
0.693137,0.573132,77,0.220893
0.184028,0.327576,83,-0.257973
0.182248,0.667098,10,-2.201223
0.820441,0.490282,72,-0.077123
0.827372,0.618998,89,0.385327
0.583625,0.267071,83,0.224392
0.519452,0.19283,57,1.12226
0.64391,0.956663,25,0.305495
0.647288,0.225306,94,0.991862
0.141286,0.178102,35,-0.310743
0.75633,0.986729,48,-1.475857
0.194414,0.112502,26,-1.215667
0.776114,0.305918,66,0.580749
0.082088,0.210543,8,-0.653278
0.129588,0.983994,41,-1.670517
0.486559,0.537031,2,0.4946
