id,z1,z2,z3,z4,z5,z6,z7,z8,z9
1,-1.207044,-1.207044,-1.207044,-0.599146,-1.580391,-1.46481,0.947933,1.313487,0.915706
2,-1.49314,-1.396907,-2.032845,-0.125081,-1.464813,-1.593136,0.877048,1.200139,0.871859
3,1.320299,-1.48728,-2.313217,-1.786519,-1.868208,-1.830209,0.611983,1.215369,0.859555
4,-0.313527,-1.354551,-2.417586,0.304037,-0.300926,-1.789309,0.342693,1.108339,0.784238
5,-0.078625,-0.553191,-2.347507,-1.974391,-2.545144,-2.355458,-0.075015,0.850618,0.731539
6,-0.89232,-1.76841,-2.740718,-0.841304,-2.486795,-2.382165,0.049971,0.814349,0.647277
7,1.468353,-0.76769,-2.62469,0.17762,-2.057038,-2.36419,-0.135667,0.600056,0.569651
8,0.621275,-0.258583,-2.500403,-0.053481,-1.934336,-2.383757,0.166474,0.586154,0.491624
9,-2.393214,-2.333436,-2.237257,-0.971552,-0.860916,-2.346322,0.114646,0.533113,0.398758
10,-0.639233,-0.639068,-2.351545,0.19852,1.034798,-1.552713,0.244692,0.52496,0.385022
11,-0.88719,-1.485019,-2.455049,-1.324624,-1.649635,-1.540166,0.685031,0.505683,0.339845
12,-0.885987,-1.68369,-2.609811,-0.391483,-1.497956,-1.953459,0.614814,0.439958,0.312119
13,0.405315,0.013993,-2.333439,0.882921,-0.088053,-2.212475,0.40902,0.263001,0.27083
14,1.580096,0.780163,-1.886985,-1.348727,-1.115978,-2.388112,1.404598,0.414705,0.291677
15,1.627955,1.10934,-1.620157,0.445842,-0.3625,-2.438177,1.29736,0.482693,0.290578
16,0.034883,0.869456,-1.518283,-0.477156,-1.402648,-1.529285,1.038009,0.390933,0.304525
17,-0.477156,-1.402648,-1.529285,-1.099725,-1.872233,-1.643601,0.824039,0.350802,0.308059
18,-0.580358,-1.703961,-2.02586,-1.775061,-2.01193,-2.001823,0.904724,0.491431,0.330895
19,1.169559,-1.308029,-2.237941,-1.570012,-0.989544,-1.968295,1.45281,0.721928,0.389463
20,-0.268436,-0.507017,-2.297961,-0.67165,-2.43842,-2.305118,1.44584,0.800448,0.432121
21,-0.10257,-0.578292,-2.28257,-1.227277,-1.164866,-2.361141,1.173015,0.897206,0.471147
22,-0.629482,-0.895669,-2.339978,-0.572274,-0.904481,-2.35471,1.457107,1.004155,0.511633
23,0.254306,-1.550369,-2.695867,-1.625875,-0.873474,-2.379886,1.605368,1.208363,0.594391
24,0.632624,-1.442791,-2.676188,-0.645315,-0.58938,-2.3394,0.948378,1.128207,0.64243
25,0.025899,-0.639232,-2.467075,-0.268436,-0.507017,-2.297961,0.363757,0.969085,0.630784
26,1.701044,0.832949,-1.745726,0.24886,-0.276142,-2.23984,0.704982,0.996378,0.630628
27,0.874562,0.874707,-1.542828,-0.544713,-1.270027,-2.619586,0.618437,0.936247,0.634172
28,-0.446807,-1.391097,-1.550288,0.381802,0.694584,-1.490857,0.520436,0.822866,0.625842
29,-0.0043,-1.434231,-2.041546,-1.572835,0.09646,-1.49012,0.832249,0.868087,0.672678
30,-0.270901,-1.401833,-2.039145,-1.226425,-0.089838,-1.462633,1.157656,1.023035,0.696662
31,-0.132466,-2.09894,-2.172795,0.827457,-1.802091,-2.151687,0.577946,0.871104,0.61623
32,-1.59909,-1.208232,-2.380483,1.080255,-2.01469,-2.168736,-0.065324,0.609978,0.558836
33,-0.393207,-1.588852,-2.710129,-0.893989,-1.491758,-2.554284,0.13617,0.611768,0.5527
34,0.725565,0.017309,-2.177937,-1.346965,-1.984881,-2.731152,1.104495,0.978701,0.592833
35,-0.19768,0.343455,-1.477985,0.207635,-0.492667,-2.402986,0.870421,0.914769,0.577879
36,-1.654791,-0.261659,-1.509561,0.66239,-0.208976,-2.329383,1.108913,1.116832,0.60297
37,-0.412217,-1.476485,-1.697095,-1.654791,-0.261659,-1.509561,0.408113,1.062997,0.604835
38,0.410166,-1.372522,-1.921125,0.053316,-1.379774,-1.690306,-0.26938,0.672448,0.599787
39,0.294981,-1.963486,-2.135611,0.410166,-1.372522,-1.921125,0.182137,0.70556,0.578367
40,1.201292,-1.666209,-2.0694,0.199045,-1.079423,-2.009161,0.697839,0.90286,0.650044
41,-1.790602,-1.229186,-2.368813,0.333933,-0.717844,-1.923474,0.57812,0.976519,0.667023
42,-0.183756,-0.761424,-2.300215,0.569116,-0.343328,-2.229761,-0.033565,0.795252,0.697285
43,-0.439506,-1.456772,-2.619984,1.636254,-0.089859,-2.283373,0.36763,0.820224,0.717959
44,-0.289524,-1.738758,-2.659479,1.222686,-0.164685,-2.318981,0.551992,0.836404,0.725145
45,1.222686,-0.164685,-2.318981,1.355762,0.357016,-2.095716,1.011989,0.887657,0.743006
46,2.039018,1.152888,-1.572155,2.403987,1.235961,-1.373751,1.299113,1.122453,0.76553
47,-0.808973,-1.28721,-1.590368,1.405548,0.965232,-1.35039,0.860524,1.089799,0.754798
48,1.124894,-1.184132,-1.995733,0.933785,-1.326554,-1.85827,-0.739911,0.759975,0.699361
49,0.758438,-1.771236,-2.139782,0.250133,-1.451678,-1.948836,-0.924349,0.768335,0.640411
50,1.614487,-1.309303,-2.00132,-0.458316,-2.342393,-2.130796,-0.67232,0.415036,0.603865
51,1.006089,-1.201411,-2.064913,1.006089,-1.201411,-2.064913,-0.187481,0.54137,0.604983
52,-1.549794,-0.958043,-2.347342,-0.653862,-1.297751,-2.176477,0.583965,0.740773,0.64275
53,0.762629,-0.213613,-2.21191,-0.602753,-0.938043,-2.237712,0.502252,0.764583,0.665634
54,-1.144406,-1.128656,-2.52671,-0.160704,-0.414557,-2.257807,0.119244,0.601603,0.648173
55,1.138714,-0.516032,-2.354644,0.566883,-0.196624,-2.216045,-0.35041,0.526983,0.633433
56,-0.483362,-0.115859,-1.441997,-0.505337,-1.456916,-2.574672,-0.759968,0.255554,0.557594
57,0.428669,-0.49262,-1.289885,0.281185,-1.51486,-2.508385,-0.808678,0.121015,0.489087
58,0.065265,-0.871211,-1.378727,-0.502679,-1.527968,-2.474511,-1.013684,-0.219573,0.46342
59,-0.986513,-1.662141,-1.743039,1.138714,-0.516032,-2.354644,-0.228147,-0.124426,0.4602
60,0.184596,-1.391784,-1.901319,-1.229009,-0.272721,-1.4818,0.563111,0.055196,0.437259
61,2.036068,-0.501201,-1.883012,0.637901,-0.485812,-1.847276,0.391323,0.054285,0.440179
62,-0.193236,-1.996588,-2.089297,-0.94381,-0.985926,-1.889427,-0.180749,-0.146333,0.39552
63,-0.742621,-0.952803,-2.256915,0.96539,-1.294334,-1.897488,-0.108047,-0.116434,0.359218
64,-1.195816,-1.278761,-2.588305,1.035277,-1.447877,-1.886592,-0.76222,-0.390626,0.26535
65,0.726852,0.211399,-2.210758,0.085592,-2.043945,-2.036309,-0.512194,-0.430307,0.236583
66,1.281504,0.379943,-2.203935,1.063774,-1.310064,-1.996736,0.279897,-0.283331,0.26017
67,0.764745,0.425774,-2.045452,-0.342594,-1.007771,-2.146439,0.599773,-0.126057,0.223561
68,-0.29888,-1.251535,-1.458482,-1.510581,-1.172351,-2.299887,-0.262032,-0.266879,0.201345
69,0.215807,-1.483192,-1.849553,0.952761,-0.017655,-2.169154,-0.186622,-0.32193,0.138153
70,0.853624,-1.257963,-1.879168,-1.127785,-1.181995,-2.526486,-0.172861,-0.342714,0.122652
71,-0.524281,-1.198394,-2.107073,-1.195816,-1.278761,-2.588305,-0.146074,-0.326798,0.074473
72,0.181614,-0.163431,-2.195565,0.489971,-1.146073,-2.490296,-0.131236,-0.389246,0.073303
73,-0.002394,-0.219628,-2.197103,0.158992,0.433712,-2.028717,0.027976,-0.420573,0.03795
74,-1.234889,-1.06226,-2.469674,1.241053,1.037377,-1.501218,0.194638,-0.480733,0.0249
75,0.716413,0.79391,-2.006369,0.82564,-1.266174,-1.816275,0.278603,-0.532034,0.017791
76,-0.070164,0.702153,-1.814907,2.080891,-0.297612,-1.856919,0.35396,-0.496944,0.021481
77,-1.902812,-1.896723,-1.705442,0.778727,-1.396617,-1.90668,1.394253,-0.290622,0.087323
78,-0.023187,-0.923095,-1.915927,-1.253222,-1.084346,-2.27396,2.627072,0.557102,0.321543
79,0.403369,-1.413917,-1.977308,-0.002394,-0.219628,-2.197103,2.692143,0.946195,0.376289
80,-0.501238,-1.485504,-2.019832,-1.220095,-1.386971,-2.57848,2.157579,1.091012,0.40805
81,-0.263655,-0.184693,-2.194185,-0.015437,-1.047782,-2.497234,1.701265,1.166149,0.476438
82,0.572971,-0.216473,-2.172623,0.159226,-0.851865,-2.39608,1.398522,1.200004,0.525457
83,0.672932,0.760377,-1.921395,-0.186007,0.713806,-1.891683,1.093412,1.231307,0.549588
84,-0.962958,-1.60557,-1.705067,0.778994,1.077491,-1.5049,0.969153,1.298462,0.588753
85,-0.067777,-0.89774,-1.908377,0.301737,-0.555469,-1.883459,0.859348,1.363794,0.609968
86,-0.378386,-0.432004,-2.149669,1.144439,-1.241029,-1.891451,-1.086852,0.715559,0.539224
87,0.033016,-0.001701,-2.153438,0.943885,-1.520626,-1.964124,-1.16154,0.432413,0.524805
88,1.579159,0.552131,-1.986648,-0.662431,-1.309966,-2.093673,-1.447538,0.216734,0.468063
89,1.030278,0.782214,-1.925518,-1.319278,-1.147532,-2.261036,-1.174355,0.121088,0.467083
90,0.884353,0.879443,-1.830828,0.063641,-0.155605,-2.164476,-0.140977,0.181041,0.522231
91,0.349875,0.895993,-1.754184,-0.042431,-0.210631,-2.208485,-0.217493,0.080794,0.499481
92,-1.175594,-0.681609,-1.999437,2.09774,0.536611,-2.051575,-0.770357,-0.223575,0.471984
93,1.451126,-0.709827,-1.828297,1.783049,0.687987,-2.026613,-1.736936,-0.629698,0.398744
94,-0.384075,-0.992678,-2.186874,0.964826,0.809695,-1.90679,-1.367442,-0.866642,0.358238
95,0.782547,0.008829,-2.110977,-0.066835,0.765946,-1.780613,-1.229524,-1.132769,0.283868
