"latitude" "longitude" "elevation" "total_prcp" "t" "sin" "cos"
"1" 32.935 -85.9556 201.2 1617 1 0.5 0.866025403784439
"2" 32.935 -85.9556 201.2 1059 2 0.866025403784439 0.5
"3" 32.935 -85.9556 201.2 1341 3 1 6.12303176911189e-17
"4" 32.935 -85.9556 201.2 622 4 0.866025403784439 -0.5
"5" 32.935 -85.9556 201.2 1178 5 0.5 -0.866025403784439
"6" 32.935 -85.9556 201.2 821 6 1.22460635382238e-16 -1
"7" 32.935 -85.9556 201.2 185 7 -0.5 -0.866025403784439
"8" 32.935 -85.9556 201.2 1497 8 -0.866025403784438 -0.5
"9" 32.935 -85.9556 201.2 272 9 -1 -1.83690953073357e-16
"10" 32.935 -85.9556 201.2 689 10 -0.866025403784439 0.5
"11" 32.935 -85.9556 201.2 1321 11 -0.5 0.866025403784438
"12" 32.935 -85.9556 201.2 773 12 -2.44921270764475e-16 1
"13" 30.8839 -87.7853 82.6 2819 1 0.5 0.866025403784439
"14" 30.8839 -87.7853 82.6 1862 2 0.866025403784439 0.5
"15" 30.8839 -87.7853 82.6 1052 3 1 6.12303176911189e-17
"16" 30.8839 -87.7853 82.6 730 4 0.866025403784439 -0.5
"17" 30.8839 -87.7853 82.6 1653 5 0.5 -0.866025403784439
"18" 30.8839 -87.7853 82.6 691 6 1.22460635382238e-16 -1
"19" 30.8839 -87.7853 82.6 1437 7 -0.5 -0.866025403784439
"20" 30.8839 -87.7853 82.6 2144 8 -0.866025403784438 -0.5
"21" 30.8839 -87.7853 82.6 432 9 -1 -1.83690953073357e-16
"22" 30.8839 -87.7853 82.6 876 10 -0.866025403784439 0.5
"23" 30.8839 -87.7853 82.6 1748 11 -0.5 0.866025403784438
"24" 30.8839 -87.7853 82.6 670 12 -2.44921270764475e-16 1
"25" 34.6892 -86.8819 183.8 1468 1 0.5 0.866025403784439
"26" 34.6892 -86.8819 183.8 912 2 0.866025403784439 0.5
"27" 34.6892 -86.8819 183.8 1167 3 1 6.12303176911189e-17
"28" 34.6892 -86.8819 183.8 705 4 0.866025403784439 -0.5
"29" 34.6892 -86.8819 183.8 1568 5 0.5 -0.866025403784439
"30" 34.6892 -86.8819 183.8 678 6 1.22460635382238e-16 -1
"31" 34.6892 -86.8819 183.8 1092 7 -0.5 -0.866025403784439
"32" 34.6892 -86.8819 183.8 352 8 -0.866025403784438 -0.5
"33" 34.6892 -86.8819 183.8 490 9 -1 -1.83690953073357e-16
"34" 34.6892 -86.8819 183.8 1471 10 -0.866025403784439 0.5
"35" 34.6892 -86.8819 183.8 1650 11 -0.5 0.866025403784438
"36" 34.6892 -86.8819 183.8 394 12 -2.44921270764475e-16 1
"37" 33.3936 -87.0067 132.6 1156 1 0.5 0.866025403784439
"38" 33.3936 -87.0067 132.6 768 2 0.866025403784439 0.5
"39" 33.3936 -87.0067 132.6 1415 3 1 6.12303176911189e-17
"40" 33.3936 -87.0067 132.6 969 4 0.866025403784439 -0.5
